City,Country,Race,Date,StartTime,Participation,Distance,ElevationGain,ElevationLoss,AidStations,Participants
Castleton,United Kingdom,Millstone 100,2021-09-03,19:00:00,solo,166.9,4520,-4520,10,150
Chamonix,France,UTMB®,2021-08-27,17:00:00,Solo,170.7,9930,-9930,11,2300
vielle-Aure,France,Ultra Tour 160,2021-08-20,05:00:00,solo,167,9980,-9980,13,600
Asenovgrad,Bulgaria,PERSENK ULTRA,2021-08-20,18:00:00,solo,164,7490,-7500,13,150
ulukisla,Turkey,100 Mile,2021-08-20,18:00:00,solo,159.9,100,-100,12,0
Münster,Switzerland,160KM,2021-08-15,17:00:00,solo,159.9,9850,-9850,15,300
Folldal,Norway,Salomon Rondane 100,2021-08-14,07:00:00,solo,163.8,5460,-5460,5,0
Spa,Belgium,160KM,2021-08-14,07:00:00,solo,163.9,4630,-4660,8,200
Beaupre,Canada,QMT-100-MILE,2021-08-13,22:00:00,solo,158.9,6410,-6240,13,120
LINDOME,Sweden,BBUT - 24 loops,2021-08-07,10:00:00,solo,163.7,3100,-3100,23,100
farnham,United Kingdom,Centurion North Downs Way 100,2021-08-07,06:00:00,solo,165.2,3130,-3170,13,300
Brecon,United Kingdom,Beacons 100,2021-08-06,20:00:00,Solo,164.8,7050,-7050,5,50
Iznik,Turkey,160 K,2021-08-06,18:00:00,solo,149.4,2930,-3040,12,100
Fieberbrunn,Austria,KAT100miles,2021-08-05,18:00:00,solo,173.9,9980,-9980,15,170
Terskol,Russia,ElbrusWorldRace,2021-07-30,00:00:00,Solo,169.9,9010,-9010,0,120
Hudson,United States,Burning River 100 Mile,2021-07-24,04:00:00,solo,163.7,2700,-2700,14,250
Ystad,Sweden,The Gax 100 miles,2021-07-24,00:00:00,solo,162.3,1510,-1510,3,75
Saluzzo,Italy,100 Miglia Monviso,2021-07-23,21:00:00,solo,168.8,8380,-8380,17,300
Ystad,Sweden,The Gax 100 miles Tuesday,2021-07-20,00:00:00,solo,162.3,1500,-1500,3,50
Carsoncity,United States,100 Mile,2021-07-17,05:00:00,solo,161.1,6170,-6160,7,300
Grenoble,France,Ut4M 160 Xtrem,2021-07-16,18:00:00,Solo,179.1,11290,-11350,17,0
Grenoble,France,Ut4M 160 Challenge,2021-07-15,08:00:00,solo,173.1,11810,-11710,12,0
Brisbane,Australia,Brisbane Trail Ultra 100 mile,2021-07-10,02:00:00,solo,160.5,7580,-7610,7,50
Wendover,United Kingdom,Wendover Woods 100,2021-07-09,08:00:00,solo,168,6610,-6600,19,120
PortMacquarie,Australia,160 Km (100 Mile),2021-07-09,20:00:00,solo,163.2,8650,-8630,13,100
Äkäslompolo,Finland,160K,2021-07-09,12:00:00,solo,164.3,4020,-4100,8,250
Oyonnax,France,Ultra 01 170 KM,2021-07-09,18:00:00,solo,174.9,7590,-7590,15,500
Vielha,Spain,VDA,2021-07-09,18:00:00,solo,162.9,10690,-10690,14,1500
Frankenmarkt,Austria,24 LOOPS,2021-07-03,09:00:00,solo,160.7,2570,-2570,24,200
Auburn,United States,Western States Endurance Run,2021-06-26,05:00:00,solo,161,5850,-7360,20,369
Swanage,United Kingdom,Jurassic Coast 100M,2021-06-19,08:00:00,solo,168.2,4740,-4680,9,100
Loudonville,United States,Mohican 100 Mile Trail Run,2021-06-19,05:00:00,solo,158.9,3700,-3700,19,0
Percé,Canada,100 miles,2021-06-19,05:00:00,solo,159,4130,-4130,21,40
PiatraFântânele,Romania,VIA TRANSILVANICA ULTRAMARATON,2021-06-18,18:00:00,solo,161.8,5410,-4950,8,50
Seia,Portugal,100 Milhas OMD,2021-06-11,16:00:00,solo,159.2,7330,-7330,9,85
Seia,Portugal,OH MEU DEUS 160 TEAM,2021-06-11,16:00:00,team,159.2,7330,-7330,9,5
Hveragerdi,Iceland,100miles,2021-06-04,14:00:00,solo,161.7,5530,-5550,10,200
SVOLVÆR,Norway,100 Miles,2021-06-04,12:00:00,solo,165,7046,-7047,10,150
Melgaço,Portugal,TPG 168k Race of the 4 Castles,2021-06-03,16:00:00,solo,166.2,9360,-8540,6,0
chester,United Kingdom,Chester Ultra 100,2021-05-29,06:00:00,solo,167,1540,-1550,10,150
Waimes,Belgium,GT160,2021-05-29,04:00:00,solo,165.3,6200,-6200,0,200
FortWilliam,United Kingdom,WHW & Ben Nevis Race,2021-05-29,11:00:00,solo,165.4,5110,-5080,9,30
Hatch,United States,Bryce Canyon 100 Mile,2021-05-28,05:00:00,solo,157.1,4310,-4310,15,300
Rumia,Poland,PORANEK NA PLAZY 160 km+,2021-05-28,12:00:00,solo,163.3,3020,-3030,7,200
Kuusamo,Finland,166K,2021-05-28,14:00:00,solo,169.6,3910,-3940,7,250
VerdensEnde,Norway,Soria Moria til Verdens Ende,2021-05-22,10:00:00,solo,163,4230,-4310,6,150
Pretoria,South Africa,100m,2021-05-21,12:00:00,solo,156.8,6300,-6540,14,0
KasinkaMala,Poland,UTM 170,2021-05-21,17:00:00,solo,171.8,8640,-8640,8,50
HanmerSprings,New Zealand,100mile,2021-05-14,10:00:00,solo,0,0,-0,16,0
Jonsered,Sweden,Ultra-Trail®,2021-05-13,20:00:00,solo,169.2,4060,-4060,9,50
London,United Kingdom,Centurion Thames Path 100,2021-05-08,09:00:00,solo,161.3,3210,-3160,13,300
Hawker,Australia,Hubert 100M,2021-05-08,10:00:00,solo,157.7,2430,-2430,8,150
Saltaire,United Kingdom,Dales High Way + High Cup Nick,2021-05-08,08:30:00,solo,166.2,4430,-4380,8,200
Litochoro,Greece,Gulag-100,2021-05-07,12:00:00,solo,167.1,14260,-14260,4,40
Zalesie,Poland,100 miles of Beskid Wyspowy,2021-05-01,06:00:00,solo,164.5,6610,-6620,8,100
yibin,China,Bó Trail 170K,2021-05-01,09:00:00,solo,161.7,8440,-8440,13,100
Ishikawa,Japan,Yarikan100,2021-05-01,06:00:00,solo,164.7,8700,-8700,22,50
Hayama,Japan,4th Sengenyama 100 (mile),2021-04-24,05:00:00,solo,166.4,6110,-6110,8,50
Fuji,Japan,100 mile,2021-04-23,11:00:00,solo,161.9,7340,-7380,4,80
Tamba,Japan,Tamba 100 Adventure Trail,2021-04-23,06:00:00,solo,162.7,9200,-9200,13,100
Underberg,South Africa,UTD 160,2021-04-23,10:00:00,solo,171.6,5160,-6500,12,0
Ningbo,China,100Mile,2021-04-16,14:00:00,solo,161,7060,-7060,13,150
Virgin,United States,Zion 100,2021-04-10,05:00:00,solo,160.8,2830,-2880,15,250
SanMartinDeLosAndes,Argentina,100 Miles,2021-04-09,10:00:00,solo,163.7,8140,-8140,15,280
jinan,China,168km,2021-04-09,16:00:00,solo,161.5,10810,-10790,16,100
QUZHOU,China,QLG168,2021-04-02,16:30:00,solo,168,10740,-10740,10,10
NA,Costa Rica,Volcano 100 Millas,2021-03-30,06:30:00,solo,160.5,6440,-6560,13,50
Syracuse,United States,100 mile,2021-03-26,10:00:00,Solo,162,2200,-2200,16,400
Kullaberg,Sweden,Kullamannen 100 miles,2021-03-26,09:00:00,solo,163.6,1910,-1930,4,600
Cromwell,New Zealand,100 Mile,2021-03-20,06:00:00,solo,161.4,9460,-9470,12,50
